1;524.794072;0.187448362;0.032114058;228.8002279;6843.598481;29.91080273;60.20487976;220.737212;556.8283342
1;330;0.226892803;0.265290046;121.1542007;3163.239472;26.10920178;69.71736145;99.084964;400.225776
2;245;0.189019158;0.081681409;62.90295509;1235.983356;19.64905073;42.15201569;46.69035543;292.3762384
2;352.6564468;0.121998515;0.090757121;68.52784639;1066.157846;15.55802353;43.69192505;52.79281667;382.7331865
3;178;0.170867734;0.212930169;41.54216676;489.4405205;11.78177641;35.7477951;21.16239331;215.9059342
3;195;0.139102741;0.20525072;37.46219562;328.3840516;8.765744937;35.0238266;13.29465026;232.5876277
4;152;0.165806279;0.227590934;34.2195504;94.35432796;2.757322257;31.2792778;13.87747773;180.6095533
4;303;0.063355452;0.039793507;22.5678927;102.500309;4.541864424;21.83084106;5.720500629;321.6468374
5;1084.247037;0.073478362;0;191.8979532;2937.971545;15.31007233;66.56362915;179.9836313;1064.103828
5;649.3693973;0.107512282;0.018849556;207.1116914;3344.432678;16.14796661;50.54747009;200.8487145;623.9088141
6;2100;0.061959188;-0.045378561;390.4825067;16640.72362;42.61579797;125.9004135;380.6447034;2073.028685
6;1800;0.034208453;0.042586034;301.0603509;4406.154331;14.63545206;67.62532806;293.3669201;1742.375702
